,id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
0,979255658213232640,RT @gopalkagarwal: Replying to a debate on #Budget2018 as #PM at a #MockParliament by #BVSS at #ScopeComplex https://t.co/Pm5XNrvI9L,2018-03-29 07:15:17,51,dubeysuresh500,6,,"[{'text': 'Budget2018', 'indices': [43, 54]}, {'text': 'PM', 'indices': [58, 61]}, {'text': 'MockParliament', 'indices': [67, 82]}, {'text': 'BVSS', 'indices': [86, 91]}, {'text': 'ScopeComplex', 'indices': [95, 108]}]"
1,979251927958671360,RT @gopalkagarwal: Will be speaking on #Budget2018 in #MockParliament on behalf of #NDAGovt with professionals organised by #BVSS at Scope…,2018-03-29 07:00:27,44,sandeep28607177,17,,"[{'text': 'Budget2018', 'indices': [39, 50]}, {'text': 'MockParliament', 'indices': [54, 69]}, {'text': 'NDAGovt', 'indices': [83, 91]}, {'text': 'BVSS', 'indices': [124, 129]}]"
2,979251190386085889,RT @gopalkagarwal: Replying to a debate on #Budget2018 as #PM at a #MockParliament by #BVSS at #ScopeComplex https://t.co/Pm5XNrvI9L,2018-03-29 06:57:32,51,sandeep28607177,17,,"[{'text': 'Budget2018', 'indices': [43, 54]}, {'text': 'PM', 'indices': [58, 61]}, {'text': 'MockParliament', 'indices': [67, 82]}, {'text': 'BVSS', 'indices': [86, 91]}, {'text': 'ScopeComplex', 'indices': [95, 108]}]"
3,979245098264244224,"RT @AKBL7: 4yrs of BJP gvt,1yr of UP gvt but Jaypee n Amrapali Homebuyers r still waiting for their own homes in noida🏡😥 frm 9yrs. No relie…",2018-03-29 06:33:19,34,Shabnam24315583,91,,[]
4,979243116480823296,RT @gopalkagarwal: Replying to a debate on #Budget2018 as #PM at a #MockParliament by #BVSS at #ScopeComplex https://t.co/Pm5XNrvI9L,2018-03-29 06:25:27,51,Asthagu64581297,37,Bathinda (Punjab) ,"[{'text': 'Budget2018', 'indices': [43, 54]}, {'text': 'PM', 'indices': [58, 61]}, {'text': 'MockParliament', 'indices': [67, 82]}, {'text': 'BVSS', 'indices': [86, 91]}, {'text': 'ScopeComplex', 'indices': [95, 108]}]"
5,979243083266224128,RT @gopalkagarwal: My quote on #Budget2018 https://t.co/AIFxo4ZjQe,2018-03-29 06:25:19,50,Asthagu64581297,37,Bathinda (Punjab) ,"[{'text': 'Budget2018', 'indices': [31, 42]}]"
6,979242624891539456,"RT @AKBL7: 4yrs of BJP gvt,1yr of UP gvt but Jaypee n Amrapali Homebuyers r still waiting for their own homes in noida🏡😥 frm 9yrs. No relie…",2018-03-29 06:23:29,2,Shabnam24315583,91,,[]
7,979241964058087424,"RT @AKBL7: 4yrs of BJP gvt,1yr of UP gvt but Jaypee n Amrapali Homebuyers r still waiting for their own homes in noida🏡😥 frm 9yrs. No relie…",2018-03-29 06:20:52,2,trivedikalra,26,,[]
8,979238255026618368,"RT @kumawat_bittu: #Bollywood_StopVulgarity
Current films are more of action, thriller, romance, robbery
The youth do same which see in fil…",2018-03-29 06:06:08,84,MaheshP68251804,283,,"[{'text': 'Bollywood_StopVulgarity', 'indices': [19, 43]}]"
9,979238237817356289,"RT @kumawat_bittu: #Bollywood_StopVulgarity
Movies have diminished family system of values, People are forgetting giving respect to elders.…",2018-03-29 06:06:03,55,MaheshP68251804,283,,"[{'text': 'Bollywood_StopVulgarity', 'indices': [19, 43]}]"
