"Agricultural #Startups is the next but thing #India's budding #Entrepreneurs should think about. With all the genius teach minds in our country, we can create wonders that can benefit and be a beverage for the Agricultural Industry. @startupindia #Budget2018",pos
"To how are people responding to Lodi government's economic policies? Of you consider data, and not just rhetoric then this chart is a good indicator. Voluntarily people are filing returns and submitting tax - a permanent shift in compliance. #Budget2018 8/10",pos
#Budget2018 #BudgetWithMoneycontrol #BudgetWithNDTV His budget is not good for economic growth because lack of plans for farmers & labour class He cannot move forward with gas cylinders or MSP Need to take big step Lolipop budget!!,neg
"On't understand why everyone is criticising the #budget2018. Are the people stupid enough that they still hope for something good from the #budget. Well th time is no charm. Nothing for the middle class, Nothing for the youth. Congrats #lately on the so called #longtermbudget",neg
Yes it is disappointing! India's R&D spend has been stagnating around 0.7% of GDP for the last 20 years & unfortunately #Budget2018 didn't address this issue,neg
By the news in the media either Lodi doesn't know ABC..of the #Budget2018 or trying to bluff people for 2019..Not a single statement is not found sane,neg
Good article on #Budget2018 A budget that creates foundation for higher growth while creating an inclusive society,pos
"#Budget2018 Respected of and HIS team of ADVISORS ""destroyed 20 lake core market cap to get 2000 core long term capital gain tax"" Whispers a galere in the business world!!!",neg
"true #ModiSarkar enabled #EaseofLiving it Q is 4 whom? Its 4 of, President & of. what is there 4 honest tax papers? rewarded w 1% less, capital tax, removal 15K med & 19.Of transport. they r back-stabbed, looted & created #AntiMiddleClassBudget #AntiMiddleClassBJP #Budget2018",neg
#budget2018 By GIVING Half a Million People Free Health Are does BJP got think that VOTES will fall in their favour...A bottle of liquor & Is.500 will sway the Royalties..ANTAGONIZING the MIDDLE & BUSINESS CLASS will go AGAINST BJP in 2019....@PMOIndia @BJP4India RETHINK !!!,neg
#Modicare #India Wants to Give Half a Million People Free #health #Are #Budget2018,pos
The #Budget2018 was best opportunity to BJP got to show people that they can do better than cap. But me.. Who are we bidding? Its always cap. #BasEkAurSaal,neg
"#Budget2018 Middle class pays the most tax per person but they don't have access to clean drinking water, no roads, no health services, no school, no security. They have to pay for everything so what's Not's message here??",neg
"The #Budget2018 lacks direction and it is clear that the Lodi Not has run out of ideas. Thankfully, we have only one more year to go with this incompetent Not.",neg
"To in vitality, the last 4 years under Lodi government have been better for every section and class of society. It both micro and micro level the economy has done well. The numbers speak it. The people endorse it. #Budget2018 10/10",pos
